Date,Open,High,Low,Close,Volume,Adj Close
2015-11-10,15.05,15.98,14.86,15.07,59679000,15.07
2015-11-09,15.10,15.48,14.96,15.19,44779000,15.19
2015-11-06,14.81,15.20,14.74,15.15,37509100,15.15
2015-11-05,14.72,15.12,14.65,14.71,41933600,14.71
2015-11-04,14.17,14.74,14.06,14.70,30441100,14.70
2015-11-03,14.30,14.40,13.90,14.00,19225600,14.00
2015-11-02,14.40,14.69,14.20,14.26,24262400,14.26
2015-10-30,14.61,15.24,14.49,14.78,45761200,14.78
2015-10-29,14.29,14.61,14.11,14.39,17205000,14.39
2015-10-28,14.59,14.80,13.95,14.11,25805000,14.11
2015-10-27,14.55,14.91,13.82,14.81,33815000,14.81
2015-10-26,14.80,14.87,14.34,14.56,32222000,14.56
2015-10-23,14.46,14.75,14.27,14.68,32707500,14.68
2015-10-22,13.81,14.35,13.81,14.32,20928300,14.32
2015-10-21,15.11,15.18,13.71,13.79,36607000,13.79
2015-10-20,15.22,15.51,14.90,15.09,38762700,15.09
2015-10-19,14.66,15.19,14.57,15.10,35411200,15.10
2015-10-16,14.87,15.03,14.31,14.72,32959300,14.72
2015-10-15,14.13,14.66,14.09,14.65,30761600,14.65
2015-10-14,14.33,14.55,14.10,14.14,19767300,14.14
2015-10-13,14.24,14.51,13.98,14.39,33946300,14.39
2015-10-12,13.90,14.80,13.80,14.51,53930000,14.51
2015-10-09,13.03,14.30,13.01,14.02,48432100,14.02
2015-10-08,13.00,13.17,12.81,13.00,21593600,13.00
2015-10-07,12.41,12.41,12.41,12.41,000,12.41
2015-10-06,12.41,12.41,12.41,12.41,000,12.41
2015-10-05,12.41,12.41,12.41,12.41,000,12.41
2015-10-02,12.41,12.41,12.41,12.41,000,12.41
2015-10-01,12.41,12.41,12.41,12.41,000,12.41
2015-09-30,12.33,12.55,12.23,12.41,11487600,12.41
2015-09-29,12.40,12.46,12.15,12.22,8265700,12.22
2015-09-28,12.29,12.29,12.29,12.29,000,12.29
2015-09-25,12.99,12.99,12.15,12.29,17257600,12.29
2015-09-24,12.78,13.18,12.69,13.01,17105900,13.01
2015-09-23,12.90,13.05,12.60,12.67,15188300,12.67
2015-09-22,13.07,13.30,12.89,13.09,18962500,13.09
2015-09-21,12.51,13.09,12.44,13.07,17941500,13.07
2015-09-18,12.63,13.04,12.38,12.71,14308400,12.71
2015-09-17,12.81,13.28,12.50,12.51,24974400,12.51
2015-09-16,11.93,13.08,11.82,13.04,22620600,13.04
2015-09-15,12.40,12.86,11.75,11.89,18883100,11.89
2015-09-14,13.70,13.79,12.29,12.82,31292500,12.82
2015-09-11,13.62,13.94,13.30,13.65,21104100,13.65
2015-09-10,13.58,14.12,13.50,13.79,26392700,13.79
